Region,Landform/Region,Publication,Isotope,Sample_name,Latitude_DD,Longitude_DD,Elevation_m,SH_Mean,SH_SEM,CRONUS_Age,CRONUS_Internal,CRONUS_External,Balco_Age,Balco_Internal,Balco_External,LLPR_Age,LLPR_Internal,LLPR_External,Rannoch_Age,Rannoch_Internal,Rannoch_External,Roy_Age,Roy_Internal,Roy_External
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,MA03,42.66576,0.640593,2396,54.03,0.65,14,0.48672,1.2,13.43,0.48,1.12,14.19,0.51,0.61,14.23,0.51,0.75,13.44,0.48,0.5
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,MA04,42.661984,0.640907,2560,57.6,0.67,12.6,0.39247,1.1,12.2,0.38,1,12.86,0.4,0.51,12.89,0.4,0.64,12.21,0.38,0.4
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,MA11,42.656626,0.639145,2789,61.93,0.65,4.22,0.13568,0.34,4.04,0.14,0.33,4.3,0.15,0.18,4.31,0.15,0.22,4.04,0.14,0.14
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,MA12,42.655786,0.640751,2817,59.23,0.71,5.3,0.1986,0.45,5.15,0.2,0.43,5.48,0.21,0.25,5.49,0.21,0.3,5.15,0.2,0.2
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,MA07,42.658923,0.643975,2665,51.13,0.49,12,0.36997,1,11.48,0.37,0.94,12.09,0.38,0.48,12.11,0.39,0.6,11.49,0.37,0.38
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,MA05,42.665929,0.644418,2342,57.8,0.73,8.36,0.45588,0.82,8.31,0.44,0.76,8.94,0.47,0.52,8.97,0.47,0.58,8.32,0.44,0.45
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,MA06,42.668177,0.644724,2283,49.5,1.04,14,0.5906,1.2,13.47,0.58,1.17,14.25,0.62,0.7,14.28,0.62,0.83,13.48,0.58,0.6
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,AN02,42.666343,0.667745,2050,48.6,1.18,13.8,1.2447,1.6,13.28,1.22,1.58,14.04,1.29,1.33,14.08,1.29,1.4,13.29,1.22,1.23
Pyrenees,Maladeta-Aneto,Crest et al. (2017),10Be,AN01,42.670054,0.665129,2020,47.2,0.91,15,0.96852,1.5,14.41,0.97,1.46,15.25,1.03,1.09,15.29,1.03,1.18,14.42,0.97,0.98
Pyrenees,Bassies,Crest et al. (2017),10Be,BA15,42.764276,1.43311,1678,46.6,0.89,16,0.95428,1.6,15.29,0.93,1.48,16.21,0.98,1.06,16.25,0.98,1.17,15.3,0.93,0.94
Pyrenees,Bassies,Crest et al. (2017),10Be,BA16,42.766455,1.428521,1741,46.9,0.94,16.3,0.78926,1.5,15.65,0.77,1.41,16.58,0.82,0.91,16.62,0.82,1.04,15.66,0.77,0.79
Pyrenees,Bassies,Crest et al. (2017),10Be,BA20,42.751657,1.403577,1837,51.64,0.95,12.2,0.66312,1.2,11.86,0.65,1.11,12.5,0.69,0.75,12.53,0.69,0.84,11.87,0.65,0.66
Pyrenees,Bassies,Crest et al. (2017),10Be,BA19,42.751657,1.403577,1837,55.37,0.76,8.49,0.53014,0.87,8.43,0.51,0.81,9.07,0.54,0.59,9.09,0.55,0.65,8.44,0.51,0.51
Pyrenees,Bassies,Crest et al. (2017),10Be,BA17,42.753804,1.407713,1885,51.9,0.9,12.3,1.1136,1.5,11.98,1.09,1.42,12.63,1.15,1.19,12.66,1.16,1.25,11.99,1.09,1.1
Pyrenees,Bassies,Crest et al. (2017),10Be,BA18,42.754527,1.407939,1890,53.07,0.99,11.8,0.86253,1.3,11.55,0.85,1.22,12.17,0.9,0.94,12.19,0.9,1.01,11.56,0.85,0.86
Pyrenees,Querol,Pallàs et al. (2010),10Be,FUL03,42.513352,1.824614,1476,42.9,0.99,21.7,3.3785,3.7,20.82,3.55,3.88,22,3.75,3.79,22.05,3.76,3.85,20.83,3.55,3.56
